QC,SITE_ID,CDBS_ID,STATE,SITE_NAME,ELEV_M,OCT_1,OCT_15,NOV_1,NOV_15,DEC_1,DEC_15,JAN_1,JAN_15,FEB_1,FEB_15,MAR_1,MAR_15,APR_1,APR_15,MAY_1,MAY_15,JUN_1,JUN_15,JUL_1,JUL_15,AUG_1,AUG_15,SEP_1,SEP_15,PEAK_SWE
,308,11R06S,AZ,"BAKER BUTTE",2225.04,0,2.54,2.54,10.16,22.86,35.56,58.42,88.9,116.84,144.78,149.86,142.24,114.3,63.5,17.78,0,0,0,0,0,0,0,0,0,149.86
,310,09S01S,AZ,BALDY,2781.3,0,0,2.54,10.16,27.94,53.34,88.9,114.3,144.78,177.8,203.2,205.74,175.26,96.52,20.32,0,0,0,0,0,0,0,0,0,205.74
,902,09S06S,AZ,"BEAVER HEAD",2435.352,0,0,2.54,7.62,17.78,30.48,48.26,63.5,78.74,83.82,76.2,66.04,38.1,2.54,0,0,0,0,0,0,0,0,0,0,83.82
1,,09R11,AZ,"BUCK SPRING",2255.52,*,*,*,*,*,*,68.58,104.14,121.92,40.64,96.52,78.74,17.78,*,*,*,*,*,*,*,*,*,*,*,121.92
,416,09S07S,AZ,"CORONADO TRAIL",2560.32,0,0,0,0,7.62,20.32,45.72,71.12,81.28,86.36,83.82,55.88,17.78,2.54,0,0,0,0,0,0,0,0,0,0,86.36
,488,11P13S,AZ,FRY,2194.56,0,0,2.54,7.62,22.86,40.64,71.12,101.6,124.46,177.8,172.72,139.7,81.28,38.1,0,0,0,0,0,0,0,0,0,0,177.8
,511,09S11S,AZ,"HANNAGAN MEADOWS",2749.296,0,0,5.08,17.78,50.8,88.9,139.7,177.8,218.44,259.08,297.18,312.42,274.32,170.18,40.64,2.54,0,0,0,0,0,0,0,0,312.42
,969,11R05S,AZ,"HAPPY JACK",2325.624,0,5.08,12.7,20.32,27.94,38.1,53.34,73.66,93.98,116.84,154.94,160.02,71.12,30.48,0,0,0,0,0,0,0,0,0,0,160.02
,519,10R04S,AZ,HEBER,2328.672,0,0,2.54,7.62,20.32,35.56,58.42,99.06,121.92,139.7,127,104.14,73.66,30.48,0,0,0,0,0,0,0,0,0,0,139.7
,617,09S02S,AZ,"MAVERICK FORK",2804.16,0,0,2.54,10.16,33.02,63.5,106.68,144.78,185.42,210.82,259.08,241.3,228.6,154.94,45.72,7.62,0,0,0,0,0,0,0,0,259.08
,640,11R03S,AZ,"MORMON MOUNTAIN",2286,0,0,2.54,7.62,22.86,38.1,60.96,96.52,124.46,157.48,170.18,162.56,127,76.2,25.4,0,0,0,0,0,0,0,0,0,170.18
,705,11R10S,AZ,PROMONTORY,2417.064,0,0,2.54,12.7,38.1,68.58,116.84,180.34,246.38,292.1,327.66,327.66,289.56,203.2,53.34,10.16,0,0,0,0,0,0,0,0,327.66
,927,11P08S,AZ,"SNOWSLIDE CANYON",2965.704,0,5.08,25.4,45.72,88.9,132.08,177.8,203.2,231.14,254,314.96,342.9,365.76,340.36,203.2,76.2,25.4,0,0,0,0,0,0,0,365.76
,861,12P02S,AZ,"WHITE HORSE LAKE",2188.464,0,0,0,5.08,15.24,27.94,50.8,81.28,96.52,129.54,134.62,116.84,76.2,20.32,0,0,0,0,0,0,0,0,0,0,134.62
,866,09S18S,AZ,WILDCAT,2392.68,0,0,0,2.54,10.16,27.94,43.18,71.12,86.36,104.14,111.76,93.98,50.8,12.7,0,0,0,0,0,0,0,0,0,0,111.76
,877,10S01S,AZ,"WORKMAN CREEK",2103.12,0,0,2.54,10.16,27.94,48.26,73.66,109.22,121.92,149.86,134.62,106.68,68.58,38.1,0,0,0,0,0,0,0,0,0,0,149.86
,301,20H13S,CA,"ADIN MTN",1886.712,0,0,0,25.4,68.58,104.14,149.86,185.42,228.6,264.16,309.88,353.06,335.28,269.24,172.72,96.52,17.78,0,0,0,0,0,0,0,353.06
,356,19L05S,CA,"BLUE LAKES",2455.7736,0,0,0,15.24,60.96,111.76,200.66,314.96,464.82,571.5,665.48,744.22,810.26,822.96,777.24,650.24,426.72,241.3,81.28,20.32,0,0,0,0,822.96
,391,20H06S,CA,"CEDAR PASS",2142.744,2.54,0,17.78,30.48,96.52,139.7,182.88,233.68,289.56,340.36,396.24,454.66,490.22,454.66,363.22,238.76,68.58,5.08,0,0,0,0,0,0,490.22
