start_date,end_date,"station id",lat,lon,elev
1990/10/01,2100/01/01,581,47.21,-105.19,2871
2009/09/29,2100/01/01,1142,46.49,-115.8,3080
1988/10/01,2100/01/01,674,43.32,-116,3200
1979/10/01,2100/01/01,752,46.95,-116.34,3200
2011/06/29,2100/01/01,1179,48.96,-110.87,3269
2003/10/01,2100/01/01,1053,48.72,-116.46,3520
2011/06/29,2100/01/01,1180,48.8,-111.05,3917
2006/08/22,2100/01/01,1081,47.86,-117.04,4210
1978/10/01,2100/01/01,535,47.53,-115.78,4250
1996/07/15,2100/01/01,918,48.98,-115.82,4250
1978/10/01,2100/01/01,500,48.91,-114.77,4300
1979/10/01,2100/01/01,469,48.43,-113.94,4350
2011/06/29,2100/01/01,1181,48.89,-111.09,4408
1986/10/01,2100/01/01,808,45.8,-111.59,4474
1989/10/01,2100/01/01,623,47.15,-116.27,4510
1982/10/01,2100/01/01,747,46.57,-115.74,4570
1978/10/01,2100/01/01,604,46.88,-113.32,4680
1996/06/11,2100/01/01,917,48.17,-109.65,4700
2000/10/01,2100/01/01,989,46.81,-116.85,4700
1979/10/01,2100/01/01,562,47.43,-113.78,4750
1979/10/01,2100/01/01,704,43.51,-115.57,4800
2010/01/09,2100/01/01,1165,48.2,-114.52,4820
2001/10/01,2100/01/01,1016,44.79,-116.09,4890
1978/10/01,2100/01/01,613,48.8,-113.67,4900
1991/10/01,2100/01/01,346,47.68,-114,4920
2000/10/01,2100/01/01,979,44.38,-116.34,4920
1978/10/01,2100/01/01,510,48.31,-114.84,5035
2000/09/20,2100/01/01,988,48.89,-116.76,5040
1998/07/21,2100/01/01,932,48.13,-115.62,5100
1978/10/01,2100/01/01,594,47.46,-115.71,5140
2011/10/12,2100/01/01,1190,47.86,-114.76,5150
1978/10/01,2100/01/01,413,47.06,-112.6,5200
1978/10/01,2100/01/01,645,48.06,-116.23,5200
1982/10/01,2100/01/01,588,46.63,-114.58,5240
1979/10/01,2100/01/01,319,44.95,-116.14,5350
1978/10/01,2100/01/01,423,44.29,-115.66,5380
1979/10/01,2100/01/01,323,48.31,-116.07,5400
