network,site_name,start_date,end_date,state,"station id",lat,lon,elev
snotel,APISHAPA,1979/10/01,2100/01/01,CO,303,37.33,-105.07,10000
snotel,ARROW,1978/10/01,2100/01/01,CO,305,39.92,-105.76,9680
snotel,"ATLANTA SUMMIT",1978/10/01,2100/01/01,ID,306,43.76,-115.24,7580
snotel,"BADGER PASS",1979/10/01,2100/01/01,MT,307,48.13,-113.02,6900
snotel,"BAKER BUTTE",1978/10/01,2100/01/01,AZ,308,34.46,-111.41,7300
snotel,"BALD MTN.",1978/10/01,2100/01/01,WY,309,44.8,-107.84,9380
snotel,BALDY,1978/10/01,2100/01/01,AZ,310,33.98,-109.5,9125
snotel,"BANFIELD MOUNTAIN",1986/10/01,2100/01/01,MT,311,48.57,-115.45,5600
snotel,"BANNER SUMMIT",1979/10/01,2100/01/01,ID,312,44.3,-115.23,7040
snotel,"BARKER LAKES",1979/10/01,2100/01/01,MT,313,46.1,-113.13,8250
snotel,"BASE CAMP",1979/10/01,2100/01/01,WY,314,43.95,-110.45,7030
snotel,"BASIN CREEK",1979/10/01,2100/01/01,MT,315,45.8,-112.52,7180
snotel,BATEMAN,1978/10/01,2100/01/01,NM,316,36.51,-106.32,9300
snotel,"BATTLE MOUNTAIN",1985/10/01,2100/01/01,WY,317,41.05,-107.27,7440
snotel,"BEAGLE SPRINGS",1978/10/01,2100/01/01,MT,318,44.47,-112.98,8850
snotel,"BEAR BASIN",1979/10/01,2100/01/01,ID,319,44.95,-116.14,5350
snotel,"BEAR CANYON",1979/10/01,2100/01/01,ID,320,43.74,-113.94,7900
snotel,"BEAR CREEK",1978/10/01,2100/01/01,NV,321,41.83,-115.45,8040
snotel,"BEAR LAKE",1979/10/01,2100/01/01,CO,322,40.31,-105.64,9500
snotel,"BEAR MOUNTAIN",1979/10/01,2100/01/01,ID,323,48.31,-116.07,5400
snotel,"BEAR SADDLE",1979/10/01,2100/01/01,ID,324,44.61,-116.98,6180
snotel,"BEAR TRAP MEADOW",1979/10/01,2100/01/01,WY,325,43.89,-107.06,8200
snotel,"BEARTOOTH LAKE",1979/10/01,2100/01/01,WY,326,44.94,-109.57,9360
snotel,BEARTOWN,1979/10/01,2100/01/01,CO,327,37.71,-107.51,11600
snotel,"BEAVER CREEK",1984/10/01,2100/01/01,MT,328,44.95,-111.36,7850
snotel,"BEAVER DAMS",1979/10/01,2100/01/01,UT,329,39.14,-111.56,7970
snotel,"BEAVER DIVIDE",1978/10/01,2100/01/01,UT,330,40.61,-111.1,8280
snotel,"BEN LOMOND PEAK",1978/10/01,2100/01/01,UT,332,41.38,-111.94,8000
snotel,"BEN LOMOND TRAIL",1979/10/01,2100/01/01,UT,333,41.38,-111.92,5829
snotel,"BERRY CREEK",1979/10/01,2100/01/01,NV,334,39.32,-114.62,9100
snotel,"BERTHOUD SUMMIT",1978/10/01,2100/01/01,CO,335,39.8,-105.78,11300
snotel,"BIG BEND",1978/10/01,2100/01/01,NV,336,41.76,-115.69,6700
snotel,"BIG CREEK SUM",1979/10/01,2100/01/01,NV,337,39.29,-117.11,8695
snotel,"BIG CREEK SUMMIT",1979/10/01,2100/01/01,ID,338,44.63,-115.79,6580
snotel,"BIG FLAT",1978/10/01,2100/01/01,UT,339,38.3,-112.36,10349
snotel,"BIG MEADOW",1983/10/01,2100/01/01,NV,340,39.46,-119.94,8249
snotel,"BIG SANDY OPENING",1978/10/01,2100/01/01,WY,342,42.65,-109.26,9080
snotel,"BISON LAKE",1985/10/01,2100/01/01,CO,345,39.76,-107.36,10880
snotel,"BISSON CREEK",1991/10/01,2100/01/01,MT,346,47.68,-114,4920
snotel,"BLACK BEAR",1978/10/01,2100/01/01,MT,347,44.51,-111.13,8170
snotel,"BLACK FLAT-U.M. CK",1979/10/01,2100/01/01,UT,348,38.68,-111.6,9462
snotel,"BLACK PINE",1978/10/01,2100/01/01,MT,349,46.41,-113.43,7210
snotel,BLACKWATER,1979/10/01,2100/01/01,WY,350,44.38,-109.79,9780
snotel,"BLIND BULL SUM",1978/10/01,2100/01/01,WY,353,42.96,-110.61,8650
snotel,"BLOODY DICK",1978/10/01,2100/01/01,MT,355,45.17,-113.5,7600
snotel,"BONE SPRINGS DIV",1978/10/01,2100/01/01,WY,358,44.68,-107.58,9350
snotel,"BOSTETTER R.S.",1979/10/01,2100/01/01,ID,359,42.16,-114.19,7500
snotel,"BOULDER MOUNTAIN",1978/10/01,2100/01/01,MT,360,46.56,-111.29,7950
snotel,"BOX CANYON",1978/10/01,2100/01/01,MT,363,45.27,-110.25,6670
snotel,"BOX CREEK",1978/10/01,2100/01/01,UT,364,38.51,-112.02,9828
snotel,"BRACKETT CREEK",1994/09/30,2100/01/01,MT,365,45.89,-110.94,7320
snotel,BRIGHTON,1985/10/01,2100/01/01,UT,366,40.6,-111.58,8750
snotel,"BROOKLYN LAKE",1979/10/01,2100/01/01,WY,367,41.36,-106.23,10240
snotel,"BROWN DUCK",1978/10/01,2100/01/01,UT,368,40.58,-110.59,10600
snotel,BRUMLEY,1979/10/01,2100/01/01,CO,369,39.09,-106.54,10600
