Generated by testfiles.m script on 06-May-2014
site_id, year                                 
305,2008
306,2000
306,2004
335,2005
335,2006
335,2009
335,2010
337,2004
339,2004
342,2002
347,2010
347,2011
349,2008
349,2009
349,2010
349,2011
358,2009
358,2010
358,2011
369,2008
369,2009
369,2010
371,2003
380,2003
380,2005
390,2003
392,2003
393,2003
403,2010
403,2011
417,2005
430,2004
430,2005
430,2006
430,2007
430,2008
430,2009
430,2010
432,2002
444,2003
448,2010
448,2011
453,2004
455,2003
474,2005
475,2004
482,2003
482,2004
482,2005
482,2006
482,2007
482,2008
482,2009
482,2010
482,2011
484,2003
495,2003
503,2004
505,2009
505,2011
527,2004
531,2007
550,1998
550,1999
550,2000
550,2001
550,2002
557,2004
561,2003
568,2010
568,2011
569,2010
571,2002
571,2008
571,2009
573,2004
578,2009
578,2010
578,2011
579,2003
580,2006
580,2008
589,2006
589,2009
607,2008
613,2003
613,2004
613,2005
613,2006
613,2007
613,2008
613,2009
613,2010
613,2011
626,2003
649,2008
649,2009
649,2010
649,2011
654,2006
680,2003
680,2008
680,2009
684,2003
684,2004
686,2002
688,2011
715,2003
715,2004
715,2005
715,2009
723,2004
750,1997
762,2009
763,2003
781,2011
783,2008
783,2009
783,2010
783,2011
795,2003
798,2009
798,2010
798,2011
802,2008
802,2009
814,2005
820,2005
823,2007
826,2011
839,2004
840,2005
840,2006
840,2007
840,2008
840,2009
840,2010
840,2011
853,2003
857,2007
857,2008
857,2009
857,2010
861,2006
862,2009
862,2010
862,2011
872,2004
872,2005
874,2007
874,2008
874,2009
874,2010
903,2008
903,2009
903,2010
903,2011
924,2008
924,2009
924,2010
924,2011
931,2003
931,2004
931,2005
931,2006
931,2007
931,2008
931,2009
931,2010
931,2011
935,2009
937,2006
938,2006
938,2007
938,2008
938,2009
938,2010
939,2006
940,2005
940,2007
969,2002
969,2003
969,2004
969,2005
969,2006
969,2008
969,2009
1013,2002
1014,2006
1014,2010
1015,2011
1030,2005
1030,2006
1030,2011
1033,2003
1034,2003
1042,2004
1042,2010
1045,2011
1046,2007
1046,2008
1046,2009
1047,2006
1047,2011
1053,2004
1054,2004
1054,2006
1056,2006
1056,2007
1106,2011
1123,2010
1125,2011
1130,2011
1131,2011
1132,2011
1138,2010
1140,2011
1144,2011
2029,2000
2029,2009
