Last updated in testsensors.m script on 07-May-2014
site_id, year, ts5, ts20, ts50, vwc5, vwc20, vwc50 
305,2008,1,1,1,1,1,1
305,2009,0,0,0,0,0,1
305,2010,0,0,0,1,0,1
305,2011,0,0,0,0,0,1
306,1998,1,1,1,1,1,1
306,1999,1,1,1,1,1,1
306,2000,1,1,1,1,1,1
306,2001,1,1,1,1,1,1
306,2002,1,1,1,1,1,1
306,2003,1,1,1,1,1,1
306,2004,1,1,1,1,1,1
306,2005,0,0,0,0,0,0
306,2006,0,0,0,0,0,0
306,2007,0,0,0,0,0,0
306,2008,0,0,0,0,0,0
306,2009,0,0,0,0,0,0
306,2010,0,0,0,0,0,0
306,2011,0,0,0,0,0,0
310,2003,1,1,1,0,0,1
310,2004,1,1,1,0,0,1
310,2005,0,0,0,0,0,1
310,2006,0,0,0,0,0,1
310,2007,0,0,0,0,0,1
310,2008,0,0,0,0,0,1
310,2009,0,0,0,0,0,1
310,2010,0,0,0,0,0,1
310,2011,0,0,0,0,0,1
312,2008,0,0,0,0,0,0
312,2009,0,0,0,0,0,0
312,2010,0,0,0,0,0,0
312,2011,0,0,0,0,0,0
329,2005,0,0,0,0,0,0
329,2006,0,0,0,0,0,0
329,2007,0,0,0,0,0,0
329,2008,0,0,0,0,0,0
329,2009,0,0,0,0,0,0
329,2010,0,0,0,0,0,0
329,2011,0,0,0,0,0,0
330,2005,0,0,0,0,0,0
330,2006,0,0,0,0,0,0
330,2007,0,0,0,0,0,0
330,2008,0,0,0,0,0,0
330,2009,0,0,0,0,0,0
330,2010,0,0,0,0,0,0
330,2011,0,0,0,0,0,0
332,2003,0,0,0,0,0,0
332,2004,0,0,0,0,0,0
332,2005,0,0,0,0,0,0
332,2006,0,0,0,0,0,0
332,2007,0,0,0,0,0,0
332,2008,0,0,0,0,0,0
332,2009,0,0,0,0,0,0
332,2010,0,0,0,0,0,0
332,2011,0,0,0,0,0,0
333,2005,0,0,0,0,0,0
333,2006,0,0,0,0,0,0
333,2007,0,0,0,0,0,0
333,2008,0,0,0,0,0,0
333,2009,0,0,0,0,0,0
333,2010,0,0,0,0,0,0
333,2011,0,0,0,0,0,0
334,2005,1,1,1,1,1,1
334,2006,0,0,0,0,0,0
334,2007,0,0,0,0,0,0
334,2008,0,0,0,0,0,0
334,2009,0,0,0,0,0,0
334,2010,0,0,0,0,0,0
334,2011,0,0,0,0,0,0
335,2003,1,1,1,0,0,0
335,2004,1,1,1,0,0,0
335,2005,1,1,1,0,0,0
335,2006,1,1,1,0,0,0
335,2007,0,0,0,0,0,0
335,2008,0,0,0,0,0,0
335,2009,0,0,0,0,0,0
335,2010,0,0,0,0,0,0
335,2011,0,0,0,0,0,0
336,2006,0,0,0,0,0,0
336,2007,0,0,0,0,0,0
336,2008,0,0,0,0,0,0
336,2009,0,0,0,0,0,0
336,2010,0,0,0,0,0,0
336,2011,0,0,0,0,0,0
337,2004,0,0,0,0,0,0
337,2005,0,0,0,0,0,0
337,2006,0,0,0,0,0,0
337,2007,0,0,0,0,0,0
337,2008,0,0,0,0,0,0
337,2009,0,0,0,0,0,0
337,2010,0,0,0,0,0,0
337,2011,0,0,0,0,0,0
339,2003,0,0,0,0,0,0
339,2004,0,0,0,0,0,0
339,2005,0,0,0,0,0,0
339,2006,0,0,0,0,0,0
339,2007,0,0,0,0,0,0
339,2008,0,0,0,0,0,0
339,2009,0,0,0,0,0,0
339,2010,0,0,0,0,0,0
339,2011,0,1,0,0,1,0
340,2006,0,0,0,0,0,0
340,2007,0,0,0,0,0,0
340,2008,0,0,0,0,0,0
340,2009,0,0,0,0,0,0
340,2010,0,0,0,0,0,0
340,2011,0,0,0,0,0,0
342,2002,1,1,1,1,1,1
342,2003,0,0,0,1,0,1
342,2004,0,0,0,1,0,1
342,2005,0,0,0,0,0,1
342,2006,0,0,0,0,0,1
342,2007,0,0,0,0,0,1
342,2008,0,0,0,0,0,1
342,2009,0,0,0,0,0,1
342,2010,0,0,0,0,0,1
342,2011,0,0,0,0,0,1
347,2010,0,0,0,0,0,0
347,2011,0,0,0,0,0,0
348,2005,0,0,0,0,0,1
348,2006,0,0,0,0,0,1
348,2007,0,0,0,0,0,1
348,2008,0,0,0,0,0,1
348,2009,0,0,0,0,0,1
348,2010,0,0,0,0,0,1
348,2011,0,0,0,0,0,1
349,2008,0,0,0,0,0,1
349,2009,0,0,0,0,0,1
349,2010,0,0,0,0,0,1
349,2011,0,0,0,0,0,1
358,2009,0,0,0,0,0,0
358,2010,0,0,0,0,0,0
358,2011,0,0,0,0,0,0
364,2004,0,0,0,0,0,0
364,2005,0,0,0,0,0,0
364,2006,0,0,0,0,0,0
364,2007,0,0,0,0,0,0
364,2008,0,0,0,0,0,0
364,2009,0,0,0,0,0,0
364,2010,0,0,0,0,0,0
364,2011,0,0,0,0,0,0
366,2007,0,0,0,0,0,0
366,2008,0,0,0,0,0,0
366,2009,0,0,0,0,0,0
366,2010,0,0,0,0,0,0
366,2011,0,0,0,0,0,0
368,2004,0,0,0,0,0,0
368,2005,0,0,0,0,0,0
368,2006,0,0,0,0,0,0
368,2007,0,0,0,0,0,0
368,2008,0,0,0,0,0,0
368,2009,0,0,0,0,0,0
368,2010,0,0,0,0,0,0
368,2011,0,0,0,0,0,0
369,2004,0,0,0,1,1,1
369,2005,0,0,1,0,0,1
369,2006,0,0,0,0,0,1
369,2007,0,0,0,0,0,1
369,2008,1,1,1,1,1,1
369,2009,0,0,0,0,0,1
369,2010,0,0,1,0,0,1
